extraction_number,paper,subject,predicate,object,source_section,confidence,passage,sentence_ref
1,paper1,GaroCommunityMembers,WILLINGNESS_TO_PROTECT_LANGUAGE,ProtectTheirLanguage,Page 1,High,(GaroCommunityMembers)-[:WILLINGNESS_TO_PROTECT_LANGUAGE]->(ProtectTheirLanguage),"Finally, it can be said that the strong willingness of Garo community members to protect their language is helping them to keep alive their mother tongue despite having lots of pressure from Bangla and English language."" (P. 120-141)"
2,paper1,EthnicCommunityInBangladesh,PRESSURE_FROM_NATURAL_LANGLANGUAGES,TendencyToShiftFromMandiToBangla,Page 1,High,(EthnicCommunityInBangladesh)-[:PRESSURE_FROM_NATURAL_LANGLANGUAGES]->(TendencyToShiftFromMandiToBangla),"Despite the pressure of national language Bangla, it is mentioned that Garo community members are trying to maintain their mother tongue."" (P. 120-141)"
3,paper1,University of Chittagong,AFFILIATED_WITH,Institute of Modern Language,Page 1,High,(University of Chittagong)-[:AFFILIATED_WITH]->(Institute of Modern Language),"1 Associate Professor, Institute of Modern Language, University of Chittagong, Bangladesh."" (Page X)"
4,paper1,Farzana Chowdhury,ROLE,Associate Professor,Page 1,High,(Farzana Chowdhury)-[:ROLE]->(Associate Professor),"1 Associate Professor, Institute of Modern Language, University of Chittagong, Bangladesh."" (Page X)"
5,paper1,City University,AFFILIATED_WITH,Lecturer,Page 1,High,(City University)-[:AFFILIATED_WITH]->(Lecturer),"2 Lecturer, Department of English, City University, Savar, Dhaka, Bangladesh."" (Page X)"
6,paper1,Jiniyabhoratybd,ROLE,Lecturer,Page 1,High,(Jiniyabhoratybd)-[:ROLE]->(Lecturer),"2 Lecturer, Department of English, City University, Savar, Dhaka, Bangladesh."" (Page X)"
7,paper1,Bangla,BEING_SPOKEN_AS_FIRST_LANGUAGE,Population of Bangladesh,Page 2,High,(Bangla)-[:BEING_SPOKEN_AS_FIRST_LANGUAGE]->(Population of Bangladesh),In Bangladesh...
8,paper1,War_Jaintia,BELONG_TO,Austro_Asiatic_family,Page 2,High,(War_Jaintia)-[:BELONG_TO]->(Austro_Asiatic_family),War-Jaintia belong to the Austro-Asiatic family...
9,paper1,Kurux,SPEAK,Dravidian_languages,Page 2,High,(Kurux)-[:SPEAK]->(Dravidian_languages),War-Jaintia belong to the Austro-Asiatic family...
10,paper1,Garo,SPEAK_AS_FIRST_LANGUAGE,GaroCommunity,Page 2,High,(Garo)-[:SPEAK_AS_FIRST_LANGUAGE]->(GaroCommunity),"In Bangladesh, almost 98% of people speak Bangla as their first language..."
11,paper1,Rakhine Speakers,USE_MOTHER_TONGUE,Meitei Neighbors,Page 2,High,(Rakhine Speakers)-[:USE_MOTHER_TONGUE]->(Meitei Neighbors),In a survey of Meitei speakers...
12,paper1,Santali Speakers,USE_MOTHER_TONGUE,SantaliCommunity,Page 2,High,(Santali Speakers)-[:USE_MOTHER_TONGUE]->(SantaliCommunity),In a survey of Santali speakers...
13,paper1,Bishnupriya Speakers,USE_MOTHER_TONGUE,War_Jaintia,Page 2,High,(Bishnupriya Speakers)-[:USE_MOTHER_TONGUE]->(War_Jaintia),In a survey of War_Jaintia speakers...
14,paper1,Tolemy,MENTIONED,GaroCommunity,Page 2,High,(Tolemy)-[:MENTIONED]->(GaroCommunity),"It was Tolemi who first mentioned the name Garo in 200 A.D."" (Page X)"
15,paper1,Garo,ARE_KNOWN_AS,Umar Puj,Page 1,High,(Garo)-[:ARE_KNOWN_AS]->(Umar Puj),Umar puj’ and its inhabitants as Garoini.
16,paper1,Garo,ORIGINATE_FROM,Hills,Page 2,High,(Garo)-[:ORIGINATE_FROM]->(Hills),"Playfair (1998) mentioned that the Gara or Ganching subtribe first received their appellation of 'Gara',..."
17,paper1,Garo,HAS_GROUPS,"Lamdani, Achick",Page 3,High,"(Garo)-[:HAS_GROUPS]->(Lamdani, Achick)","Das and Islam (2005) believe that there are two basic groups among the Garo, namely, ‘Lamdani’ or ‘Plain Garo’ and ‘Achick’ or Hill Garo."
