subject,predicate,object,sentence_location
GaroCommunity,speaks,MandiLanguage,
GaroCommunity,population,2500000-3000000,
GaroCommunity,HAS_A_LARGEST_GROUP,Chakma,
GaroCommunity,HAS_AN_ETHNIC_LANGUAGE,MandiLanguage,
GaroCommunity,lives,GreaterMymensinghArea,
GaroCommunity,HAVE_BEEN_KNOWN,TolemiCollection,
GaroCommunity,HAVE_SOCIO_ECONOMIC_AND_CULTURAL_ASPECTS_STUDIED,"Muhammed et al., 2011",
GaroCommunity,USES_LANGUAGE_IN,DifferentDomains,
GaroCommunity,CONCENTRATED_IN,ParticularArea,
GaroCommunity,DO_NOT_UNDERSTAND,BanglaLanguage,
GaroCommunity,SPEAK,BanglaLanguage,
GaroCommunity,DO_NOT_ACCEPT,UsingBanglaWithRelativesNegatively,
GaroCommunity,RECOGNIZE,InfluenceOfRegionalAccents,
GaroCommunity,USE_LOCAL_DIALECT,SinghRegionalDialect,
GaroCommunity,CANNOT_AVOID,MymensinghAccent,
GaroCommunity,LIVE_IN,GreaterMymensinghArea,
GaroCommunity,HAVE_A_STRONG_CONNECTION_WITH,BanglaLanguage,
GaroCommunity,ARE_LOCATED_IN,Bangladesh,
GaroCommunity,PRACTICE,ReligiousPractices,
GaroCommunity,HAVE_SUPPORT_FROM,FamilyAndCommunity,
GaroCommunity,EXIST_IN,Bangladesh,
GaroCommunity,HAVE_PSYCHOLOGICAL_DIMENSIONS,Ethnicity,
GaroCommunity,HAVE_A_CULTURE,ChangingGaroCulture,
GaroCommunity,HAVE_A_RELIGION,Unknown,
GaroCommunity,BELONG_TO,AustroAsiaticFamily,
GaroCommunity,EXPERIENCES_PRESSURE,EnglishLanguage,
GaroCommunity,HAS_WILLINGNESS,ProtectMandiLanguage,
GaroCommunity,HAS_POPULATION,2500000-3000000,
GaroCommunity,IS_LARGER_THAN,ChakmaCommunity,
GaroCommunity,BELONGS_TO,SinoTibetanLanguageFamily,
GaroCommunity,SPEAK_LANGUAGE,Garo,
GaroCommunity,HAVE_SOCIAL_ECONOMIC_CULTURAL_ASPECTS_STUDIED,"Muhammed et al., 2011",
GaroCommunity,IS_CONCENTRATED_IN,ParticularArea,
GaroCommunity,LACK_PRACTICE,Mandi,
GaroCommunity,HAS_NUMBER_OF,135,
GaroCommunity,FACES_LANGUAGE_MAINTENANCE_PROBLEMS,TRUE,
GaroCommunity,HAS_RECEIVED_SUPPORT,NationalLanguagePolicies2010,
GaroCommunity,HAS_TOTAL,NumberOfRespondents-140,
GaroCommunity,EXPERIENCES_LANGUAGE_CONTACT,BanglaLanguage,
GaroCommunity,EXPERIENCES_LANGUAGE_CONTACT,EnglishLanguage,
GaroCommunity,EXPERIENCES_LANGUAGE_USE_AND_PREFERENCE_IN,HomeDomain,
GaroCommunity,EXPERIENCES_LANGUAGE_USE_AND_PREFERENCE_IN,FriendshipDomain,
GaroCommunity,EXPERIENCES_LANGUAGE_USE_AND_PREFERENCE_IN,ReligionDomain,
GaroCommunity,EXPERIENCES_LANGUAGE_USE_AND_PREFERENCE_IN,MediaDomain,
GaroCommunity,USES_AND_PREFERES,MandiLanguage,
GaroCommunity,USES_AND_PREFERES,BanglaLanguage,
GaroCommunity,language,GaroLanguage,
GaroCommunity,language,Garotongue,
GaroCommunity,HAS_HOPE,SustenanceOfGaroLanguage,
GaroCommunity,HAS_CENSUS_POPULATION,347419,
GaroCommunity,PRAY,Church,
GaroCommunity,PRAY,Home,
GaroCommunity,ARE_INFLUENCED_BY,ChristianMissionaries,
GaroCommunity,ARE_INFLUENCED_BY,Islam,
GaroCommunity,USE_LANGUAGE,Bangla,
GaroCommunity,USE_LANGUAGE,Mandi,
GaroCommunity,USE,MandiLanguage,
GaroCommunity,USE,BanglaLanguage,
GaroCommunity,USE,DifferentDomains,
GaroCommunity,USE,BanglaAsOfficialLanguageInBangladesh,
GaroCommunity,USE,StandardBanglaLanguage,
GaroCommunity,USE,StandardBanglaLanguageCorrectly,
GaroCommunity,USE,RegionalDialect,
MandiLanguage,IS_UNDER_PRESSURE_FROM,BanglaLanguage,
MandiLanguage,IS_UNDER_PRESSURE_FROM,EnglishLanguage,
MandiLanguage,IS_USED_MOSTLY,FamilyDomain,
MandiLanguage,IS_USED_WITH,Parents,
MandiLanguage,USE_ROMAN_ALPHABET,Write,
MandiLanguage,IS_UNDER_PRESSURE,BanglaLanguage,
BanglaLanguage,DOMINATES_OVER,MandiLanguage,
GaroCommunityInBangladesh,ARE_FIRST_MENTIONED,Tolemi-200AD,
GaroCommunityInBangladesh,ARE_STUDYED,LanguageMaintenance,
GaroWomen,SPEAK,BanglaAndMandiWithSpouses,
GaroWomen,INITIATE_MAINTAINING_MANDI,AtHome,
GaroWomen,ARE_FAMILIAR_WITH,BanglaLanguage,
GaroWomen,ARE_LOCATED_IN,Bangladesh,
GaroWomen,PRACTICE,ReligiousPractices,
GaroWomen,USE_LANGUAGE_FOR_RELIGIOUS_PRACTICES,Bangla,
GaroWomen,USE_LANGUAGE_FOR_RELIGIOUS_PRACTICES,Mandi,
GaroWomen,REASON_FOR_USING_BANGLA,TranslationOfTheBible,
GaroWomen,REASON_FOR_USING_BANGLA,LackOfPracticeInMandi,
GaroWomen,CANNOT_SPEAK_IN,Mandi,
GaroWomen,BELONG_TO,AgeGroup_20-35,
GaroWomen,BELONG_TO,AgeGroup_35-95,
GaroWomen,ORIGINATE_FROM,HaluaghatPhulpur,
GaroWomen,HAVE_AVERAGE_AGE,30,
GaroWomen,HAVE_AVERAGE_HEIGHT,140cm,
GaroWomen,ARE_DISTRIBUTED_IN_AGE,"M3, M6",
GaroWomen,INITIATE,RetainingMandiUse,
GaroWomen,SPEAK_LANGUAGE_WITH_GRANDPARENTS,MandiLanguage,
GaroWomen,ARE_MORE_FAMILIAR_WITH,BanglaLanguage,
GaroWomen,UNDERGO_A_RITUAL,M=3,
GaroWomen,USE_AS_MANY_AS,140,
Garo,WERE_FIRST_APPELLED,Garoini,
Garo,NAME_EXTENDED,All_inhabitants_of_the_hills,
Garo,WERE_CHANGED,From_Gara_to_Garo,
Garo,HAVE_TWO_BASIC_GROUPS,Lamdani_or_Plain_Garo_and_Achick_or_Hill_Garo,
Garo,WERE_FIRST_INTRODUCED,Mymensingh district,
Garo,MIGRATION,To_Tibet,
Garo,MIGRATION,To_north-eastern_Indian_Hill_tracts_and_northern_Bangladesh,
Garo,MIGRATION,To_the_greater_Mymensingh_area,
Garo,LEFT_BANGLADESH,1964,
Garo,LIVE_IN,Mymensingh and high,
Garo,ARE_A_SMALL_ETHNIC_GROUP,Bangladesh,
Garo,HAVE_A_NOTION_OF_SEPARATE_HOMELAND,Bengal,
Garo,ANTECEDENT_HOME,"Xinjiang province, north-west of China",
Garo,MIGRATED,Tibet,
Garo,MIGRATED,north-eastern Indian Hill tracts and northern Bangladesh,
Garo,ESTABLISHED_SMALL_FEUDAL_KINGDOM,greater Mymensingh area,
Garo,RETURNED_TO_BANGLADESH,1971,
Garo,POPULATION,"nearly 150,000",
Garo,HAVE_LANGUAGE,Maintained,
Garos,WERE_FIRST_INTRODUCED,In_Mymensingh_district,
Garos,EMERGENCE_OF_SEPARATE_HOMELAND,In_Bengal_by_the_British_administration,
Garos,LEFT_BANGLADESH,In_1964,
Garo_antecedent_home,LOCATION,"Xinjiang_province, north-west of China",
Garo_presence,INCREASING_GRADUALLY,In_Bangladesh_since_1971,
Garo_population_in_Bangladesh,NEARLY,"150,000",
Garo_ethnic_community,LIVING,In_Mymensingh,
Garo_religion,FOLLOW,Christianity,
GaroDialects,HAS,Eight,
GaroLanguage,IS_THE,LanguageOfGaroCommunityInBangladesh,
GaroLanguage,IS_MAINTAINED,ByGaroCommunityMembersInBangladesh,
GaroLanguage,IS_USED_FOR,InstructionFromClass1To3,
GaroLanguage,HAS_SHIFTED_IN,ReligiousAndMediaDomains,
GaroLanguage,IS_SUPPORTED_BY,NationalLanguagePolicies2010,
GaroLanguage,IS_KNOWN_AS,LocalLanguageGaroCommunityBangladesh,
GaroLanguage,IS_SPOKEN_BY,GaroCommunity,
GaroLanguage,IS_USED_IN,PrePrimarySchools,
GaroLanguage,IS_USED_IN,PrimarySchools,
GaroLanguage,HAS_SHIFTED,ReligiousAndMediaDomains,
GaroLanguageUseAlphabet,uses,RomanAlphabet,
GaroCommunityBangladesh,ARE_A_SMALL_REPRESENTATION,GaroCommunity,
GaroCommunityMembersInBangladesh,ARE_LOCATED,HaluaghatThana,
GaroCommunityMembersInBangladesh,ARE_LOCATED,PhulpurThana,
GaroCommunityMembersInBangladesh,USE,"MandiLanguage, BanglaLanguage, EnglishLanguage",
GaroCommunityMembersInBangladesh,USE_MIXED,"MandiLanguage, BanglaLanguage, EnglishLanguage",
GaroCommunityMembersInBangladesh,USE_WITH_SAME_COMMUNITY,MandiLanguage,
GaroCommunityMembersInBangladesh,USE_WITH_BENGALI,BanglaLanguage,
GaroCommunityMembersInBangladesh,USE_INCIDENTALLY_OR_AUTOMATICALLY,BanglaLanguage,
GaroCommunityMembersInBangladesh,INFLUENCE_OF_DOMINANT_LANGUAGE,MandiLanguage,
GaroCommunityMembersInBangladesh,COLLECTED_FROM,TwoVillages,
GaroCommunityMembersInBangladesh,INTERACT_MOSTLY,BanglaLanguage,
GaroCommunityMembersInBangladesh,HAVE_LANGUAGE_MAINTENANCE_ISSUES,InstitutionsAndChurches,
GaroCommunityMembersInBangladesh,TAKE_INDIVIDUAL_INITIATIVES,OrganizeReligiousProgramsAndRituals,
