subject,predicate,object,sentence_location
GaroCommunity,SPEAKS,MandiLanguage,null
GaroCommunity,HAS_A_POPULATION,2500000-3000000,null
GaroCommunity,HAS_A_LARGEST_GROUP,Chakma,null
GaroCommunity,HAS_AN_ETHNIC_LANGUAGE,MandiLanguage,null
GaroCommunity,LIVES_IN,GreaterMymensinghArea,null
GaroCommunity,HAVE_BEEN_KNOWN,TolemiCollection,null
GaroCommunity,HAVE_SOCIO_ECONOMIC_AND_CULTURAL_ASPECTS_STUDIED,"Muhammed et al., 2011",null
GaroCommunity,USES_LANGUAGE_IN,DifferentDomains,null
GaroCommunity,CONCENTRATED_IN,ParticularArea,null
GaroCommunity,DO_NOT_UNDERSTAND,BanglaLanguage,null
GaroCommunity,SPEAK,BanglaLanguage,null
GaroCommunity,DO_NOT_ACCEPT,UsingBanglaWithRelativesNegatively,null
GaroCommunity,RECOGNIZE,InfluenceOfRegionalAccents,null
GaroCommunity,USE_LOCAL_DIALECT,SinghRegionalDialect,null
GaroCommunity,CANNOT_AVOID,MymensinghAccent,null
GaroCommunity,LIVE_IN,GreaterMymensinghArea,null
GaroCommunity,HAVE_A_STRONG_CONNECTION_WITH,BanglaLanguage,null
GaroCommunity,ARE_LOCATED_IN,Bangladesh,null
GaroCommunity,PRACTICE,ReligiousPractices,null
GaroCommunity,HAS_SAMPLE_SIZE,19Interviews,null
GaroCommunity,HAVE_SUPPORT_FROM,FamilyAndCommunity,null
GaroCommunity,EXIST_IN,Bangladesh,null
GaroCommunity,HAVE_PSYCHOLOGICAL_DIMENSIONS,Ethnicity,null
GaroCommunity,HAVE_A_CULTURE,ChangingGaroCulture,null
GaroCommunity,HAVE_A_RELIGION,Unknown,null
GaroCommunity,BELONG_TO,AustroAsiaticFamily,null
GaroCommunity,EXPERIENCES_PRESSURE,EnglishLanguage,null
GaroCommunity,HAS_WILLINGNESS,ProtectMandiLanguage,null
GaroCommunity,HAS_POPULATION,2500000-3000000,null
GaroCommunity,IS_LARGER_THAN,ChakmaCommunity,null
GaroCommunity,BELONGS_TO,SinoTibetanLanguageFamily,null
GaroCommunity,SPEAK_LANGUAGE,Garo,null
GaroCommunity,HAVE_SOCIAL_ECONOMIC_CULTURAL_ASPECTS_STUDIED,"Muhammed et al., 2011",null
GaroCommunity,HAVE_NOT_PREVIOUSLY_RESEARCHED,IssueOfMaintainingLanguageAndTransmissionToNextGeneration,null
GaroCommunity,IS_CONCENTRATED_IN,ParticularArea,null
GaroCommunity,LACK_PRACTICE,Mandi,null
GaroCommunity,HAS_NUMBER_OF,135,null
GaroCommunity,FACES_LANGUAGE_MAINTENANCE_PROBLEMS,TRUE,null
GaroCommunity,HAS_RECEIVED_SUPPORT,NationalLanguagePolicies2010,null
GaroCommunity,HAS_TOTAL,NumberOfRespondents-140,null
GaroCommunity,IS_A,EthnicCommunityInBangladesh,null
GaroCommunity,IS_A,EthnicGroupInBangladesh,null
