extraction_number,paper,subject,predicate,object,source_section,confidence,passage,sentence_ref
1,paper1,GaroCommunity,IS_A,EthnicCommunityInBangladesh,Page 1,High,// PASSAGE: (GaroCommunity)-[IS_A]->(EthnicCommunityInBangladesh),"""Bangladesh is a multi-diverse country with 45 languages including one state language."""
2,paper1,GaroCommunity,SPEAKS,MandiLanguage,Page 1,High,(GaroCommunity)-[SPEAKS]->(MandiLanguage),"""Bangladesh has"""
3,paper1,MandiLanguage,IS_UNDER_PRESSURE_FROM,BanglaLanguage,Page 1,High,(MandiLanguage)-[IS_UNDER_PRESSURE_FROM]->(BanglaLanguage),"""despite the pressure of national language Bangla"""
4,paper1,MandiLanguage,IS_UNDER_PRESSURE_FROM,EnglishLanguage,Page 1,High,(MandiLanguage)-[IS_UNDER_PRESSURE_FROM]->(EnglishLanguage),"""despite having lots of pressure from Bangla and English language"""
5,paper1,GaroCommunityMembers,HAVE_STRONG_WILLINGNESS,ProtectMandiLanguage,Page 1,High,(GaroCommunityMembers)-[HAVE_STRONG_WILLINGNESS]->(ProtectMandiLanguage),"""Finally, it can be said that the strong willingness of Garo community members to protect their language is helping them to keep alive their mother tongue"""
6,paper1,GaroCommunity,IS_A,EthnicGroupInBangladesh,Page 1,High,// PASSAGE: (GaroCommunity)-[IS_A]->(EthnicGroupInBangladesh),"Bangladesh has over fifty ethnic groups most of whom live in Rajshahi, Chittagong, Chittagong Hill Tracts, greater Mymensingh, Sylhet, Patuakhali, and Barguna (Islam & Miah, 2021)."
7,paper1,GaroCommunity,HAS_A_POPULATION,2500000-3000000,Page 1,High,(GaroCommunity)-[HAS_A_POPULATION]->(2500000-3000000),Borchgrevink and McNeish (2007) report an estimated ethnic community population of 2.5-3 million comprising 2% of the total population.
8,paper1,GaroCommunity,HAS_A_LARGEST_SUBGROUP,Chakma,Page 1,High,(GaroCommunity)-[HAS_A_LARGEST_SUBGROUP]->(Chakma),"Among them, the largest ethnic community group is Chakma, which consists of approximately 347,419 people, according to the 2001 census (World Bank, 2017)."
9,paper1,GaroCommunity,HAS_AN_ETHNIC_LANGUAGE,MandiLanguage,Page 1,High,(GaroCommunity)-[HAS_AN_ETHNIC_LANGUAGE]->(MandiLanguage),"All of them have their individual ethnic language which belongs to four main language families: Austro-Asiatic, Dravidian, Indo-European, and Sino-Tibetan. Languages such as Khasi, Koch, Mundari, Santali, and Mandi are examples."
10,paper1,GaroCommunity,LIVES_IN,GreaterMymensinghArea,Page 2,High,// PASSAGE: (GaroCommunity)-[LIVES_IN]->(GreaterMymensinghArea),"Garo community speaks Garo in the Greater Mymensingh area; and Rakhine by the Rakhains in the south-western district Patuakhali (Lewis, 2009)."
11,paper1,GaroCommunity,SPEAKS,GaroLanguage,Page 2,High,(GaroCommunity)-[SPEAKS]->(GaroLanguage),"Garo community speaks Garo in the Greater Mymensingh area; and Rakhine by the Rakhains in the south-western district Patuakhali (Lewis, 2009)."
12,paper1,BangladeshPopulation,SPEAKS_AS_FIRST_LANGUAGE,BanglaLanguage,Page 2,High,(BangladeshPopulation)-[SPEAKS_AS_FIRST_LANGUAGE]->(BanglaLanguage),"Almost 98% of people speak Bangla as their first language, and 2% speak 44 ethnic languages (Cavallaro & Rahman, 2009, p.195; see also Sarker& Davey, 2009, p.3)."
13,paper1,EthnicCommunityGroups,SPEAK,ChakmaLanguage,Page 2,High,(EthnicCommunityGroups)-[SPEAK]->(ChakmaLanguage),Indo-European languages such as Chakma and Tanchangya are spoken by the ethnic community groups bearing the same names in the Chittagong Hill Tracts.
14,paper1,EthnicCommunityGroups,SPEAK,BishnupriyaLanguage,Page 2,High,(EthnicCommunityGroups)-[SPEAK]->(BishnupriyaLanguage),"Speakers of Bishnupriya are found in the north-western districts of Sylhet, Moulvibazar, Habiganj, and Sunamganj."
15,paper1,EthnicCommunityGroups,LIVES_IN,ChittagongHillTracts,Page 2,High,(EthnicCommunityGroups)-[LIVES_IN]->(ChittagongHillTracts),"There are also Sino-Tibetan languages like Marma, Bawm-Chin, Chak, Khumi-Chin, Koch, Pankhua, Tipperary, Mru, and Mizu spoken by ethnic communities who live in the Chittagong Hill Tracts."
16,paper1,StateOfficialActivities,FOLLOWS,BanglaLanguage,Page 2,High,(StateOfficialActivities)-[FOLLOWS]->(BanglaLanguage),"Since independence, all state official communicative activities, language policy, and cultural development have followed the Bangla language disregarding multilingual makeup and hence marginalizing the ethnic community groups."
17,paper1,GovernmentDecision,PROVIDES,MotherTongueBasedEducation,Page 2,High,(GovernmentDecision)-[PROVIDES]->(MotherTongueBasedEducation),In 2009 the government decided to provide mother-tongue-based education to the child.
18,paper1,NCTB,TOOK_INITIATIVE,MotherTongueBasedEducation,Page 2,High,(NCTB)-[TOOK_INITIATIVE]->(MotherTongueBasedEducation),The National Curriculum Textbook Board (NCTB) took the initiative to provide mother-tongue-based education.
19,paper1,GaroCommunity,EXIST_IN,Bangladesh,Page 2,High,// PASSAGE: (GaroCommunity)-[EXIST_IN]->(Bangladesh),It was Tolemi who first mentioned the name Garo in 200 A.D. while collecting information from Patliputra. He recorded the Garo hills as...
20,paper1,GaroWomen,ARE_KNOWN_AS,SkilledBeauticians,Page 2,High,(GaroWomen)-[ARE_KNOWN_AS]->(SkilledBeauticians),...
21,paper1,GovernmentBangladesh2009,DECIDED,ProvideMotherTongueBasedEducation,Page 2,High,(GovernmentBangladesh2009)-[DECIDED]->(ProvideMotherTongueBasedEducation),"However, in 2009 the government decided to provide mother-tongue-based education to the child..."
22,paper1,MinistryOfEducationBangladesh2010,INITIATED,IntroduceTextbooksInGaroLanguage,Page 2,High,(MinistryOfEducationBangladesh2010)-[INITIATED]->(IntroduceTextbooksInGaroLanguage),"The National Curriculum Textbook Board (NCTB) took the initiative to introduce textbooks in Chakma, Marma, Santal, Garo, Tripura, and Oraon languages."
23,paper1,GaroLanguageUsageAtHome,VARIES,80% to 100%,Page 2,High,(GaroLanguageUsageAtHome)-[VARIES]->(80% to 100%),"The use of mother tongues of the ethnic community people at home varies from 80% to 100%, with speakers sometimes using another ethnic community language besides the mother tongue and Bangla."
24,paper1,GaroLanguageUsageAtHomeChittagongHillTracts,USE,>60%,Page 2,High,(GaroLanguageUsageAtHomeChittagongHillTracts)-[USE]->(>60%),In North Bengal most ethnic community people use their languages less than 60% of the time at home...
25,paper1,GaroLanguageUsageAtHomeSylhetDivision,USE,98%,Page 2,High,(GaroLanguageUsageAtHomeSylhetDivision)-[USE]->(98%),"In a survey of Meitei speakers (Kim & Kim, 2008) in the Sylhet Division, 98% of speakers surveyed used their mother tongue at home..."
26,paper1,GaroLanguageUsageWithMeiteiNeighbors,USE,97%,Page 2,High,(GaroLanguageUsageWithMeiteiNeighbors)-[USE]->(97%),"Similar results have been found in surveys of Meitei speakers (Kim & Kim, 2008)."
27,paper1,SantaliLanguageUsageSurvey,RESULT,SimilarResults,Page 2,High,(SantaliLanguageUsageSurvey)-[RESULT]->(SimilarResults),"Similar results have been found in surveys of Santali speakers (Ahmed et al., 2010)."
28,paper1,WarJaintiaLanguageUsageSurvey,RESULT,SimilarResults,Page 2,High,(WarJaintiaLanguageUsageSurvey)-[RESULT]->(SimilarResults),"Similar results have been found in surveys of War-Jaintia speakers (Brightbill et al., 2007)."
29,paper1,BishnupriyaLanguageUsageSurvey,RESULT,SimilarResults,Page 2,High,(BishnupriyaLanguageUsageSurvey)-[RESULT]->(SimilarResults),"Similar results have been found in surveys of speakers of Bishnupriya (Kim & Kim, 2008)."
30,paper1,Garo,ARE_KNOWN_AS,Garoini,Page 3,High,// PASSAGE: (Garo)-[ARE_KNOWN_AS]->(Garoini),The Gara or Ganching subtribe first received their appellation of ‘Gara’
31,paper1,Garo,WERE_EXTENDED,All_the_inhabitants_of_the_hills,Page 3,High,(Garo)-[WERE_EXTENDED]->(All_the_inhabitants_of_the_hills),and that name was extended to all the inhabitants of the hills
32,paper1,Garo,WERE_CHANGED,From_Gara_to_Garo,Page 3,High,(Garo)-[WERE_CHANGED]->(From_Gara_to_Garo),and that name was finally changed from Gara to Garo
33,paper1,Garo,HAVE_TWO_BASIC_GROUPS,Lamdani_or_Plain_Garo_and_Achick_or_Hill_Garo,Page 3,High,(Garo)-[HAVE_TWO_BASIC_GROUPS]->(Lamdani_or_Plain_Garo_and_Achick_or_Hill_Garo),"There are two basic groups among the Garo, namely, ‘Lamdani’ or ‘Plain Garo’ and ‘Achick’ or Hill Garo."
34,paper1,Garos,WERE_FIRST_INTRODUCED,In_the_Mymensingh_district,Page 3,High,(Garos)-[WERE_FIRST_INTRODUCED]->(In_the_Mymensingh_district),Garos were first officially introduced in the Mymensingh district
35,paper1,Garos,EMERGED_A_NOTION,Of_a_separate_Garo_homeland_in_Bengal,Page 3,High,(Garos)-[EMERGED_A_NOTION]->(Of_a_separate_Garo_homeland_in_Bengal),which resulted in the emergence of a notion of a separate Garo homeland in Bengal by the British administration
36,paper1,Antecedent_home_of_Garo,IS_LOCATED,"In_the_Xinjiang_province, north-west of China",Page 3,High,"(Antecedent_home_of_Garo)-[IS_LOCATED]->(In_the_Xinjiang_province, north-west of China)","The antecedent home of Garo is located in the Xinjiang province, north-west of China."
37,paper1,Garo,MIGRATED,To_Tibet,Page 3,High,(Garo)-[MIGRATED]->(To_Tibet),They left that place several thousand years ago and migrated to Tibet.
38,paper1,Garo,MIGRATED,To_the_north-eastern_Indian_Hill_tracts_and_northern_Bangladesh,Page 3,High,(Garo)-[MIGRATED]->(To_the_north-eastern_Indian_Hill_tracts_and_northern_Bangladesh),Then they moved again to the north-eastern Indian Hill tracts and northern Bangladesh about 4500 years ago.
39,paper1,Garo,MIGRATED,To_the_greater_Mymensingh_area,Page 3,High,(Garo)-[MIGRATED]->(To_the_greater_Mymensingh_area),"And finally, they migrated to the greater Mymensingh area and established a small feudal kingdom there."
40,paper1,Garos,LEFT_BANGLADESH,In_1964,Page 3,High,(Garos)-[LEFT_BANGLADESH]->(In_1964),In 1964 again Garos left Bangladesh because of the communal problem between Indian and Pakistani people
41,paper1,Garo_people,HAVE_BEEN_LIVING,In_Bangladesh_since_1971,Page 3,High,(Garo_people)-[HAVE_BEEN_LIVING]->(In_Bangladesh_since_1971),"Since 1971, Garo people have been living in Bangladesh"
42,paper1,Garo_population_in_Bangladesh,IS_NEARLY,"150,000",Page 3,High,"(Garo_population_in_Bangladesh)-[IS_NEARLY]->(150,000)","The Garo population is nearly 150,000,"
43,paper1,Garo_ethnic_community_in_Bangladesh,LIVES,In_Mymensingh,Page 3,High,(Garo_ethnic_community_in_Bangladesh)-[LIVES]->(In_Mymensingh),The Garo ethnic community is living in Mymensingh
44,paper1,Garo_ethnic_community_in_Bangladesh,FOLLOW,The_Christian_religion,Page 3,High,(Garo_ethnic_community_in_Bangladesh)-[FOLLOW]->(The_Christian_religion),and most of them follow the Christian religion
45,paper1,GaroPopulation,IS,Approximately150000,Page 3,High,// PASSAGE: (GaroPopulation)-[IS]->(Approximately150000),"The Garo population is nearly 150000, and most of them"
46,paper1,GaroReligion,IS_PRACTICED_BY,Christianity,Page 3,High,(GaroReligion)-[IS_PRACTICED_BY]->(Christianity),"In Bangladesh, the Garo population is nearly 150000, and most of them follow the Christian religion"
47,paper1,GaroLocation,LIVES_IN,Mymensingh,Page 3,High,(GaroLocation)-[LIVES_IN]->(Mymensingh),The Garo ethnic community is living in Mymensingh
48,paper1,GaroLocation,LIVES_IN,Netrokona,Page 3,High,(GaroLocation)-[LIVES_IN]->(Netrokona),"The highest number of Garo of Mymensingh is noticeable in Haluaghat, Netrokona"
49,paper1,GaroLocation,LIVES_IN,Modhupur,Page 3,High,(GaroLocation)-[LIVES_IN]->(Modhupur),"The highest number of Garo of Mymensingh is noticeable in Haluaghat, Modhupur"
50,paper1,GaroLocation,LIVES_IN,ScatteredWaysInSherpur,Page 3,High,(GaroLocation)-[LIVES_IN]->(ScatteredWaysInSherpur),They also live in scattered ways in Sherpur
51,paper1,GaroLocation,LIVES_IN,Tangail,Page 3,High,(GaroLocation)-[LIVES_IN]->(Tangail),They also live in scattered ways in Tangail
52,paper1,GaroLocation,LIVES_IN,JamalpurDistricts,Page 3,High,(GaroLocation)-[LIVES_IN]->(JamalpurDistricts),They also live in scattered ways in Jamalpur districts
53,paper1,GaroDialects,HAS,Eight,Page 3,High,(GaroDialects)-[HAS]->(Eight),"They have eight dialects such as A’beng, A’tong, A’we, Chisak, Matchi, Dual, Ganching (also known as Gara), and Chibok"
54,paper1,GaroDialect,IS_KNOWN_AS,A'beng,Page 3,High,(GaroDialect)-[IS_KNOWN_AS]->(A'beng),"Though most of the Garo people of plain land speak A’beng, they understand other dialects as well."
55,paper1,GaroDialect,IS_KNOWN_AS,A'tong,Page 3,High,(GaroDialect)-[IS_KNOWN_AS]->(A'tong),"Though most of the Garo people of plain land speak A’beng, they understand other dialects as well."
